Agency,Stage_of_Rulemaking,Title,RIN,Link
HHS/CMS,Proposed Rule Stage,FY 2020 Inpatient Psychiatric Facilities Prospective Payment System Rate and Quality Reporting Updates (CMS-1712-P),0938-AT69,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT69
HHS/CMS,Proposed Rule Stage,"CY 2020 Changes to the End-Stage Renal Disease (ESRD) Prospective Payment System, Quality Incentive Program, Durable Medical Equipment, Prosthetics, Orthotics, and Supplies (DMEPOS) (CMS-1713-P)",0938-AT70,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT70
HHS/CMS,Proposed Rule Stage,"FY 2020 Hospice Wage Index, Payment Rate Update, and Quality Reporting Requirements (CMS-1714-P)",0938-AT71,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT71
HHS/CMS,Proposed Rule Stage,CY 2020 Revisions to Payment Policies Under the Physician Fee Schedule and Other Revisions to Medicare Part B (CMS-1715-P),0938-AT72,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT72
HHS/CMS,Proposed Rule Stage,Hospital Inpatient Prospective Payment System for Acute Care Hospitals and the Long-Term Care Hospital Prospective Payment System and FY 2020 Rates (CMS-1716-P),0938-AT73,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT73
HHS/CMS,Proposed Rule Stage,CY 2020 Hospital Outpatient PPS Policy Changes and Payment Rates and Ambulatory Surgical Center Payment System Policy Changes and Payment Rates (CMS-1717-P),0938-AT74,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT74
HHS/CMS,Proposed Rule Stage,FY 2020 Skilled Nursing Facility (SNFs) Prospective Payment System Rate Update and Quality Reporting Requirements (CMS-1718-P),0938-AT75,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT75
HHS/CMS,Proposed Rule Stage,Interoperability and Patient Access (CMS-9115-P),0938-AT79,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT79
HHS/CMS,Proposed Rule Stage,Non-Emergency Medical Transportation in Medicaid (CMS-2481-P),0938-AT81,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT81
HHS/CMS,Proposed Rule Stage,Establishing Minimum Standards in Medicaid State Drug Utilization Review (DUR) and Supporting Value Based Payments (VBP) for Drugs Covered in Medicaid (CMS-2482-P),0938-AT82,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT82
HHS/CMS,Proposed Rule Stage,Accrediting Organizations--Changes to Change of Ownership (CMS-3368-P),0938-AT83,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT83
HHS/CMS,Proposed Rule Stage,Miscellaneous Medicare Secondary Payer Clarifications and Updates (CMS-6047-P),0938-AT85,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT85
HHS/CMS,Proposed Rule Stage,Civil Money Penalties and Medicare Secondary Payer Reporting Requirements (CMS-6061-P),0938-AT86,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT86
HHS/CMS,Proposed Rule Stage,Medicare and Medicaid Programs; Regulation to Require Drug Pricing Transparency (CMS-4187-P),0938-AT87,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT87
HHS/CMS,Proposed Rule Stage,Medicare Coverage of Innovative Technologies (CMS-3372-P),0938-AT88,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT88
HHS/CMS,Proposed Rule Stage,Potential Model Updates (CMS-5527-P),0938-AT89,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT89
HHS/CMS,Proposed Rule Stage,Health Reimbursement Arrangements and Other Account-Based Group Health Plans (CMS-9918-P),0938-AT90,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT90
HHS/CMS,Final Rule Stage,Programs of All-Inclusive Care for the Elderly (PACE) Update (CMS-4168-F),0938-AR60,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AR60
HHS/CMS,Final Rule Stage,"Hospital and Critical Access Hospital (CAH) Changes to Promote Innovation, Flexibility, and Improvement in Patient Care (CMS-3295-F)",0938-AS21,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AS21
HHS/CMS,Final Rule Stage,"Eligibility Notices, Fair Hearing and Appeal Processes for Medicaid, and Other Provisions Related to Eligibility and Enrollment for Medicaid and CHIP (CMS-2334-F3)",0938-AS55,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AS55
HHS/CMS,Final Rule Stage,"Revisions to Requirements for Discharge Planning for Hospitals, Critical Access Hospitals, and Home Health Agencies (CMS-3317-F)",0938-AS59,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AS59
HHS/CMS,Final Rule Stage,Medicaid Disproportionate Share Hospital (DSH) Allotment Reductions (CMS-2394-F),0938-AS63,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AS63
HHS/CMS,Final Rule Stage,Program Integrity Enhancements to the Provider Enrollment Process (CMS-6058-F),0938-AS84,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AS84
HHS/CMS,Final Rule Stage,Covered Outpatient Drug; Line Extension Definition and Delay in Including U.S. Territories in Definitions of States and U.S.; Changes to the Rebate Calculation for Line Extension Drugs (CMS-2345-F2),0938-AT09,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT09
HHS/CMS,Final Rule Stage,"CY 2019 Changes to the End-Stage Renal Disease (ESRD) Prospective Payment System, Quality Incentive Program, Durable Medical Equipment, Prosthetics, Orthotics, and Supplies (DMEPOS) (CMS-1691-F)",0938-AT28,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT28
HHS/CMS,Final Rule Stage,CY 2019 Home Health Prospective Payment System Rate Update and CY 2020 Case-Mix Adjustment Methodology Refinements;Value-Based Purchasing Model; Quality Reporting Requirements (CMS-1689-F),0938-AT29,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT29
HHS/CMS,Final Rule Stage,CY 2019 Hospital Outpatient PPS Policy Changes and Payment Rates and Ambulatory Surgical Center Payment System Policy Changes and Payment Rates (CMS-1695-F),0938-AT30,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT30
HHS/CMS,Final Rule Stage,CY 2019 Revisions to Payment Policies Under the Physician Fee Schedule and Other Revisions to Medicare Part B and the Quality Payment Program (CMS-1693-F),0938-AT31,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT31
HHS/CMS,Final Rule Stage,Inpatient Hospital Deductible and Hospital and Extended Care Services Coinsurance Amounts for CY 2019 (CMS-8068-N),0938-AT33,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT33
HHS/CMS,Final Rule Stage,Part A Premiums for CY 2019 for the Uninsured Aged and for Certain Disabled Individuals Who Have Exhausted Other Entitlement (CMS-8069-N),0938-AT34,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT34
HHS/CMS,Final Rule Stage,"CY 2019 Part B Monthly Actuarial Rates, Monthly Premium Rates, and Annual Deductible (CMS-8070-N)",0938-AT35,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT35
HHS/CMS,Final Rule Stage,Methods for Assuring Access to Care; Exceptions for High Managed Care Penetration and Rate Reduction Threshold (CMS-2406-F),0938-AT41,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT41
HHS/CMS,Final Rule Stage,Moral Exemptions and Accommodations for Coverage of Certain Preventive Services Under the Affordable Care Act (CMS-9925-F),0938-AT46,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT46
HHS/CMS,Final Rule Stage,Religious Exemptions and Accommodations for Coverage of Certain Preventive Services Under the Affordable Care Act (CMS-9940-F2),0938-AT54,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT54
HHS/CMS,Final Rule Stage,Medicaid Provider Payment Reassignment (CMS-2413-F),0938-AT61,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT61
HHS/CMS,Final Rule Stage,Patient Protection and Affordable Care Act; Adoption of the Methodology for the HHS-Operated Permanent Risk Adjustment Program for the 2018 Benefit Year Proposed Rule (CMS-9919-F),0938-AT66,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT66
HHS/CMS,Final Rule Stage,CY 2020 Inpatient Hospital Deductible and Hospital and Extended Care Services Coinsurance Amounts (CMS-8071-N),0938-AT76,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT76
HHS/CMS,Final Rule Stage,CY 2020 Part A Premiums for the Uninsured Aged and for Certain Disabled Individuals Who Have Exhausted Other Entitlement (CMS-8072-N),0938-AT77,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT77
HHS/CMS,Final Rule Stage,"CY 2020 Part B Monthly Actuarial Rates, Monthly Premium Rates, and Annual Deductible (CMS-8073-N)",0938-AT78,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT78
HHS/OCR,Prerule Stage,"HIPAA Privacy: Request for Information on Changes to Support, and Remove Barriers to, Coordinated Care",0945-AA00,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0945-AA00
HHS/OCR,Prerule Stage,HIPAA Enforcement: Sharing Civil Money Penalties or Monetary Settlements,0945-AA04,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0945-AA04
HHS/OCR,Proposed Rule Stage,HIPAA Privacy Rule: Presumption of Good Faith of Health Care Providers,0945-AA09,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0945-AA09
HHS/OCR,Proposed Rule Stage,Nondiscrimination in Health Programs or Activities,0945-AA11,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0945-AA11
HHS/OCR,Final Rule Stage,Protecting Statutory Conscience Rights in Health Care; Delegations of Authority,0945-AA10,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0945-AA10
HHS/ONC,Proposed Rule Stage,"21st Century Cures Act: Interoperability, Information Blocking, and the ONC Health IT Certification Program",0955-AA01,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0955-AA01
HHS/ACF,Proposed Rule Stage,"Apprehension, Processing, Care, and Custody of Alien Minors and Unaccompanied Alien Children",0970-AC42,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0970-AC42
HHS/ACF,Proposed Rule Stage,Standards for Data Exchange,0970-AC58,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0970-AC58
HHS/ACF,Proposed Rule Stage,Adoption and Foster Care Analysis and Reporting System,0970-AC72,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0970-AC72
HHS/ACF,Proposed Rule Stage,Head Start Service Duration Requirements,0970-AC73,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0970-AC73
HHS/ACF,Proposed Rule Stage,Updating Refugee Resettlement Program Requirements,0970-AC74,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0970-AC74
HHS/ACF,Proposed Rule Stage,Child Support Enforcement Program Technical Corrections,0970-AC75,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0970-AC75
HHS/ACF,Proposed Rule Stage,Head Start Designation Renewal System,0970-AC77,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0970-AC77
HHS/ACF,Proposed Rule Stage,Strengthening Work in TANF,0970-AC79,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0970-AC79
HHS/ACF,Final Rule Stage,"Standards To Prevent, Detect, and Respond to Sexual Abuse and Sexual Harassment Involving Unaccompanied Children",0970-AC61,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0970-AC61
HHS/ACF,Final Rule Stage,Head Start Program,0970-AC78,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0970-AC78
HHS/ACL,Proposed Rule Stage,Older Americans Act Grants for Supportive and Nutritional Services to Older Hawaiian Natives,0985-AA14,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0985-AA14
HHS/OS,Prerule Stage,Privacy Act Regulations,0991-AC05,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0991-AC05
HHS/OS,Proposed Rule Stage,Limiting the Effect of Exclusions Implemented Under the Social Security Act,0991-AC11,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0991-AC11
HHS/OS,Proposed Rule Stage,Ensuring Equal Treatment for Faith-Based Organizations,0991-AC13,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0991-AC13
HHS/OS,Proposed Rule Stage,Use of Federal Property to Assist the Homeless,0991-AC14,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0991-AC14
HHS/OS,Final Rule Stage,Health Resources Priority and Allocations System (HRPAS),0991-AB95,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0991-AB95
HHS/OS,Final Rule Stage,Privacy Act--Exemptions for Insider Threat Records,0991-AC10,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0991-AC10
HHS/OS,Final Rule Stage,Senior Biomedical Research Service,0991-AC12,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0991-AC12
DHS/OS,Prerule Stage,Collection of Alien Biometric Data Upon Exit From the United States at Air and Sea Ports of Departure,1601-AA34,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1601-AA34
DHS/OS,Proposed Rule Stage,External Biometric Administrative Records (EBAR) System of Records and its associated Privacy Act Exemptions,1601-AA87,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1601-AA87
DHS/OS,Final Rule Stage,Ammonium Nitrate Security Program,1601-AA52,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1601-AA52
DHS/OS,Final Rule Stage,Homeland Security Acquisition Regulation: Safeguarding of Controlled Unclassified Sensitive Information (HSAR Case 2015-001),1601-AA76,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1601-AA76
DHS/OS,Final Rule Stage,Homeland Security Acquisition Regulation: Information Technology Security Awareness Training (HSAR Case 2015-002),1601-AA78,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1601-AA78
DHS/OS,Final Rule Stage,Homeland Security Acquisition Regulation: Privacy Training (HSAR Case 2015-003),1601-AA79,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1601-AA79
DHS/OS,Final Rule Stage,"Removal of Department of Homeland Security Acquisition Regulation Clause 3052.219-70, Small Business Subcontracting Plan Reporting",1601-AA83,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1601-AA83
DHS/OS,Final Rule Stage,Department of Homeland Security Cybersecurity Talent Management System,1601-AA84,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1601-AA84
DHS/OS,Final Rule Stage,External Biometric Records System of Records and its associated Privacy Act Exemptions,1601-AA86,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1601-AA86
DHS/USCIS,Prerule Stage,EB-5 Immigrant Investor Program Realignment,1615-AC26,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1615-AC26
DHS/USCIS,Proposed Rule Stage,Inadmissibility on Public Charge Grounds,1615-AA22,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1615-AA22
DHS/USCIS,Proposed Rule Stage,Registration Requirement for Petitioners Seeking To File H-1B Petitions on Behalf of Cap Subject Aliens,1615-AB71,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1615-AB71
DHS/USCIS,Proposed Rule Stage,Requirements for Filing Motions and Administrative Appeals,1615-AB98,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1615-AB98
DHS/USCIS,Proposed Rule Stage,EB-5 Immigrant Investor Regional Center Program,1615-AC11,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1615-AC11
DHS/USCIS,Proposed Rule Stage,Strengthening the H-1B Nonimmigrant Visa Classification Program,1615-AC13,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1615-AC13
DHS/USCIS,Proposed Rule Stage,"U.S. Citizenship and Immigration Services Biometrics Collection for Consistent, Efficient, and Effective Operations",1615-AC14,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1615-AC14
DHS/USCIS,Proposed Rule Stage,Removing H-4 Dependent Spouses from the Class of Aliens Eligible for Employment Authorization,1615-AC15,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1615-AC15
DHS/USCIS,Proposed Rule Stage,U.S. Citizenship and Immigration Services Fee Schedule,1615-AC18,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1615-AC18
DHS/USCIS,Proposed Rule Stage,Removal of 30-Day Processing Provision for Certain Employment Authorization Applications,1615-AC19,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1615-AC19
DHS/USCIS,Proposed Rule Stage,Electronic Processing of Immigration Benefit Requests,1615-AC20,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1615-AC20
DHS/USCIS,Proposed Rule Stage,Updating Adjustment of Status Procedures for More Efficient Processing and Immigrant Visa Usage,1615-AC22,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1615-AC22
DHS/USCIS,Proposed Rule Stage,Improvements to the Medical Certification for Disability Exceptions Processing,1615-AC23,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1615-AC23
DHS/USCIS,Proposed Rule Stage,Credible Fear Reform,1615-AC24,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1615-AC24
DHS/USCIS,Proposed Rule Stage,Employment Authorization Documents for Asylum Applicants,1615-AC27,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1615-AC27
DHS/USCIS,Proposed Rule Stage,Modernizing Recruitment Requirements Under the H-2B Program,1615-AC33,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1615-AC33
